0: inicijalno -> 0 <A> { $ } ==> normal: 1, epsilon: 2 96 
93: <D> -> 0 { c e } ==> normal: -1, epsilon: 
94: <D> -> 0 { a b $ } ==> normal: -1, epsilon: 
95: <B> -> 0 { a c d c } ==> normal: -1, epsilon: 
96: <A> -> 0 e <D> <B> { $ } ==> normal: 97, epsilon: 
97: <A> -> e 0 <D> <B> { $ } ==> normal: 98, epsilon: 113 84 
98: <A> -> e <D> 0 <B> { $ } ==> normal: 99, epsilon: 100 101 
99: <A> -> e <D> <B> 0 { $ } ==> normal: -1, epsilon: 
100: <B> -> 0 { $ } ==> normal: -1, epsilon: 
101: <B> -> 0 b <C> <D> <E> { $ } ==> normal: 102, epsilon: 
102: <B> -> b 0 <C> <D> <E> { $ } ==> normal: 103, epsilon: 58 75 
103: <B> -> b <C> 0 <D> <E> { $ } ==> normal: 104, epsilon: 112 54 
104: <B> -> b <C> <D> 0 <E> { $ } ==> normal: 105, epsilon: 106 110 
105: <B> -> b <C> <D> <E> 0 { $ } ==> normal: -1, epsilon: 
106: <E> -> 0 e <A> f { $ } ==> normal: 107, epsilon: 
107: <E> -> e 0 <A> f { $ } ==> normal: 108, epsilon: 20 37 
108: <E> -> e <A> 0 f { $ } ==> normal: 109, epsilon: 
109: <E> -> e <A> f 0 { $ } ==> normal: -1, epsilon: 
110: <E> -> 0 c { $ } ==> normal: 111, epsilon: 
111: <E> -> c 0 { $ } ==> normal: -1, epsilon: 
112: <D> -> 0 { c e } ==> normal: -1, epsilon: 
113: <D> -> 0 { b $ } ==> normal: -1, epsilon: 
